Provider Id,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description
10086,1530 U S HIGHWAY 43,WINFIELD,AL,35594,AL - Birmingham
10087,2451 FILLINGIM STREET,MOBILE,AL,36617,AL - Mobile
10089,3400 HIGHWAY 78 EAST,JASPER,AL,35502,AL - Birmingham
10090,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,AL - Mobile
10091,295 JACKSON HWY S,GROVE HILL,AL,36451,AL - Mobile
10092,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,AL - Tuscaloosa
10095,508 GREEN STREET,GREENSBORO,AL,36744,AL - Tuscaloosa
10097,500 HOSPITAL DRIVE,WETUMPKA,AL,36092,AL - Montgomery
10099,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,FL - Pensacola
10100,750 MORPHY AVENUE,FAIRHOPE,AL,36532,AL - Mobile
10101,604 STONE AVENUE,TALLADEGA,AL,35161,AL - Birmingham
10102,317 MCWILLIAMS AVENUE,CAMDEN,AL,36726,AL - Birmingham
10103,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,AL - Birmingham
10104,800 MONTCLAIR RD,BIRMINGHAM,AL,35213,AL - Birmingham
10108,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AL - Montgomery
10109,241 ROBERT K WILSON,CARROLLTON,AL,35447,AL - Tuscaloosa
10110,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,AL - Montgomery
10112,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,AL - Birmingham
10113,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36652,AL - Mobile
10114,995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,AL - Birmingham
10118,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,AL - Birmingham
10120,2016 SOUTH ALABAMA AVENUE,MONROEVILLE,AL,36461,AL - Mobile
10125,42024 HIGHWAY 195 E     POST OFFICE BOX 780,HALEYVILLE,AL,35565,AL - Birmingham
10126,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,AL - Montgomery
10128,220 HOSPITAL DRIVE,JACKSON,AL,36545,AL - Mobile
10129,1815 HAND AVENUE,BAY MINETTE,AL,36507,AL - Mobile
10130,7063 VETERANS PARKWAY,PELL CITY,AL,35125,AL - Birmingham
10131,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,AL - Huntsville
10138,751 DERBY DRIVE,YORK,AL,36925,MS - Meridian
10139,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,AL - Birmingham
10144,3719 DAUPHIN STREET,MOBILE,AL,36608,AL - Mobile
10145,2700 HOSPITAL DRIVE,NORTHPORT,AL,35476,AL - Tuscaloosa
10146,1701 SOUTH PELHAM ROAD,JACKSONVILLE,AL,36265,AL - Birmingham
10148,101 CRESTVIEW AVENUE,EVERGREEN,AL,36401,AL - Montgomery
10149,400 TAYLOR ROAD,MONTGOMERY,AL,36117,AL - Montgomery
10150,29 L V STABLER DRIVE,GREENVILLE,AL,36037,AL - Montgomery
10152,5600 GIRBY RD,MOBILE,AL,36693,AL - Mobile
10157,201 WEST AVALON AVENUE,MUSCLE SHOALS,AL,35661,AL - Birmingham
10158,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653,AL - Birmingham
10164,315 W HICKORY ST,SYLACAUGA,AL,35150,AL - Birmingham
10168,4401 RIVER CHASE DRIVE,PHENIX CITY,AL,36867,GA - Columbus
10169,401 MEDICAL PARK DRIVE,ATMORE,AL,36502,FL - Pensacola
20001,BOX 196604,ANCHORAGE,AK,99519,AK - Anchorage
20006,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,AK - Anchorage
20008,3260 HOSPITAL DR,JUNEAU,AK,99801,AK - Anchorage
20012,1650 COWLES STREET,FAIRBANKS,AK,99701,AK - Anchorage
20017,2801 DEBARR ROAD,ANCHORAGE,AK,99508,AK - Anchorage
20018,PO BOX 287,BETHEL,AK,99559,AK - Anchorage
20024,250 HOSPITAL PLACE,SOLDOTNA,AK,99669,AK - Anchorage
20026,4315 DIPLOMACY DR,ANCHORAGE,AK,99508,AK - Anchorage
20027,222 TONGASS DR,SITKA,AK,99835,AK - Anchorage
30001,5102 WEST CAMPBELL AVENUE,PHOENIX,AZ,85031,AZ - Phoenix
30002,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006,AZ - Phoenix
30006,5301 EAST GRANT ROAD,TUCSON,AZ,85712,AZ - Tucson
30007,269 SOUTH CANDY LANE,COTTONWOOD,AZ,86326,AZ - Phoenix
